Participant,"Airpod,No-mask,Standing","Airpod,No-mask,Walking","Throat,No-mask,Standing","Throat,No-mask,Walking","Airpod,Mask,Standing","Airpod,Mask,Walking","Throat,Mask,Standing","Throat,Mask,Walking"
Participant01,0.403042328042328,0.2750104245401864,0.3729608056185437,0.37396478174603176,0.17666383219954648,0.27849460663895187,0.3691683480210266,0.3268589743589744
Participant02,0.1379769384605694,0.11973015873015871,0.6546613352222327,0.5782130102040817,0.10009246661627613,0.12235367063492061,0.44236271912611197,0.4588768057339486
Participant03,0.29193979191003,0.17607253086419752,0.5438831369248036,0.38151835317460314,0.2406249382697414,0.2761157879818594,0.5108301839254221,0.5812534687534688
Participant04,0.23480123299319727,0.1404121315192744,0.5208097915091963,0.43060232426303857,0.16745357772738725,0.18987748015873013,0.5535124559082892,0.44266149128649124
Participant05,0.2721658500229929,0.06481229454306374,0.2959562783446712,0.3382300327538423,0.2803590010078105,0.13096626984126983,0.32326895943562606,0.30960989858906524
Participant06,0.09727820294784581,0.13895426985170573,0.38434623696070586,0.7114642857142857,0.1819225875535399,0.0716111111111111,0.643369708994709,0.752986079617032
Participant07,0.15759282879818592,0.16633945419659704,0.46608275856638953,0.47220839632149153,0.2816696844610077,0.4131299221611721,0.583921130952381,0.42233212081128746
Participant08,0.19816468253968253,0.16960612535612535,0.5576488095238095,0.725579365079365,0.1843497150997151,0.12259683641975308,0.5424819605548772,0.5582738095238096
Participant09,0.17084791448630735,0.32176813271604937,0.45822952097505665,0.37268655741389256,0.111999716553288,0.16300346434870244,0.6277336109106942,0.30781299603174606
Participant10,0.08705073696145124,0.11573065476190476,0.1010242843576177,0.8293988997113997,0.11675913328294278,0.0728827160493827,0.2849584278155707,0.7285416666666666
Participant11,0.26347969490826634,0.31145089285714284,0.3645376669186193,0.7211943901006401,0.31635644136846064,0.19387301587301586,0.4790711823449919,0.7526177939124368
Participant12,0.16228584026203074,0.1782521888384984,0.30883078231292516,0.5355538766788767,0.2123968175233056,0.14570754598135552,0.6141005357076785,0.481822585978836
Participant13,0.5890979853479854,0.4205898912595341,0.9170039682539682,0.9913690476190476,0.36385452097505666,0.43504667207792214,0.679921812369729,0.9661904761904762
Participant14,0.23611819727891156,0.11107638888888889,0.48929002822913076,0.5286547619047619,0.10895017636684301,0.2685917616334283,0.4194003527336861,0.39909819281247855
Participant15,0.20869810744810743,0.21466382575757575,0.3790995270161937,0.37637924382716054,0.2737698170436266,0.13700872311449236,0.42982709750566894,0.5970828609221466
Participant16,0.4638440098261527,0.4570998677248677,0.76140518707483,0.7924900793650794,0.6682501352813853,0.632803169053169,0.8957936507936509,0.8555007558578988
